Opth, 1, 1, 20.033
Opth, 1, 1, 20.086
Opth, 1, 1, 20.264
Opth, 1, 1, 20.073
Opth, 1, 1, 19.959
Opth, 1, 1, 19.785
Opth, 1, 1, 19.957
Opth, 1, 1, 19.967
Opth, 1, 1, 20.046
Opth, 1, 1, 19.951
Opth, 1, 1, 19.997
Opth, 1, 1, 19.971
Opth, 1, 1, 19.964
Opth, 1, 1, 19.990
Opth, 1, 1, 19.955

Opth, 1, 2, 9.999
Opth, 1, 2, 9.996
Opth, 1, 2, 9.982
Opth, 1, 2, 9.995
Opth, 1, 2, 9.992
Opth, 1, 2, 10.004
Opth, 1, 2, 9.991
Opth, 1, 2, 9.992
Opth, 1, 2, 9.991
Opth, 1, 2, 9.995
Opth, 1, 2, 9.975
Opth, 1, 2, 9.990
Opth, 1, 2, 9.996
Opth, 1, 2, 9.981
Opth, 1, 2, 10.011

Opth, 1, 4, 5.050
Opth, 1, 4, 5.027
Opth, 1, 4, 5.918
Opth, 1, 4, 5.026
Opth, 1, 4, 5.036
Opth, 1, 4, 5.052
Opth, 1, 4, 5.047
Opth, 1, 4, 5.034
Opth, 1, 4, 5.054
Opth, 1, 4, 5.041
Opth, 1, 4, 5.056
Opth, 1, 4, 5.051
Opth, 1, 4, 5.048
Opth, 1, 4, 5.043
Opth, 1, 4, 5.033

Opth, 1, 8, 2.771
Opth, 1, 8, 2.739
Opth, 1, 8, 2.698
Opth, 1, 8, 2.674
Opth, 1, 8, 2.722
Opth, 1, 8, 2.718
Opth, 1, 8, 2.687
Opth, 1, 8, 2.701
Opth, 1, 8, 2.737
Opth, 1, 8, 2.704
Opth, 1, 8, 2.694
Opth, 1, 8, 2.696
Opth, 1, 8, 2.715
Opth, 1, 8, 2.726
Opth, 1, 8, 2.679

Opth, 1, 16, 2.838
Opth, 1, 16, 2.843
Opth, 1, 16, 2.811
Opth, 1, 16, 2.822
Opth, 1, 16, 2.806
Opth, 1, 16, 2.784
